gene1,gene2,D,Wn,hap_num,sample_num
HLA-L,HLA-DQB2,0.151071870148807,0.203200973762605,65,911
HLA-DQB2,HLA-N,0.170323509208145,0.191382578693175,34,208
HLA-N,HLA-DQB2,0.170323509208145,0.191382578693175,34,208
HLA-DQB2,HLA-S,0.474867807313505,0.459136758122356,30,44
HLA-S,HLA-DQB2,0.474867807313505,0.459136758122356,30,44
HLA-DQB2,HLA-V,0.208603753327271,0.249618383247513,43,246
HLA-V,HLA-DQB2,0.208603753327271,0.249618383247513,43,246
HLA-DQB2,HLA-W,0.186441473658742,0.166651468175296,111,848
HLA-W,HLA-DQB2,0.186441473658742,0.166651468175296,111,848
HLA-DQB2,TAP2,0.318509534898188,0.282459793663753,96,938
TAP2,HLA-DQB2,0.318509534898188,0.282459793663753,96,938
HLA-DRA,HLA-C,0.551099626706423,0.377187619965942,726,971
HLA-C,HLA-DRA,0.551099626706423,0.377187619965942,726,971
HLA-DRA,HLA-DMB,0.301363562837905,0.231150112314861,315,968
HLA-DMB,HLA-DRA,0.301363562837905,0.231150112314861,315,968
HLA-DRA,HLA-DPB1,0.63590836349878,0.462754462865129,1029,1004
HLA-DPB1,HLA-DRA,0.63590836349878,0.462754462865129,1029,1004
HLA-DRA,HLA-DPB2,0.266339129989413,0.252355109525224,218,1010
HLA-DPB2,HLA-DRA,0.266339129989413,0.252355109525224,218,1010
HLA-DRA,HLA-DRB1,0.753862676916706,0.528315556060212,885,1011
HLA-DRB1,HLA-DRA,0.753862676916706,0.528315556060212,885,1011
HLA-DRA,HLA-DRB3,0.374032549689272,0.226451170595773,319,858
HLA-DRB3,HLA-DRA,0.374032549689272,0.226451170595773,319,858
HLA-DRA,HLA-DRB4,0.360476188770217,0.256500396987176,329,1008
HLA-DRB4,HLA-DRA,0.360476188770217,0.256500396987176,329,1008
HLA-DRA,HLA-DRB5,0.341018146516405,0.232843554428031,292,991
HLA-DRB5,HLA-DRA,0.341018146516405,0.232843554428031,292,991
HLA-DRA,HLA-F,0.373855256313312,0.221088140677598,463,938
HLA-F,HLA-DRA,0.373855256313312,0.221088140677598,463,938
HLA-DRA,HLA-L,0.22335370045918,0.241719724949989,173,944
HLA-L,HLA-DRA,0.22335370045918,0.241719724949989,173,944
HLA-DRA,HLA-N,0.28239409753964,0.308886762236835,99,208
HLA-N,HLA-DRA,0.28239409753964,0.308886762236835,99,208
HLA-DRA,HLA-S,0.623156061427183,0.62467690698603,54,44
HLA-S,HLA-DRA,0.623156061427183,0.62467690698603,54,44
HLA-DRA,HLA-V,0.294437318604244,0.366268402787821,108,247
HLA-V,HLA-DRA,0.294437318604244,0.366268402787821,108,247
HLA-DRA,HLA-W,0.286083104482831,0.238553260658643,295,872
HLA-W,HLA-DRA,0.286083104482831,0.238553260658643,295,872
